StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,CONSENT_Q,AGE,HPW,RACE,RACE_6_TEXT,GENDER,GENDER_4_TEXT,EDU,TENURE,JOB_TITLE,MANAGER,NUM_EMPLOYEES,INDUSTRY,GRQ,RMP,POWER_1,POWER_2,POWER_3,COMPETE,COOP,NORM_COMMIT,INNOVATE,1_AFFECTIVE_1,1_COSTS_1,1_BENEFITS_1,2_AFFECTIVE_1,2_COSTS_1,2_BENEFITS_1,3_AFFECTIVE_1,3_COSTS_1,3_BENEFITS_1,4_AFFECTIVE_1,4_COSTS_1,4_BENEFITS_1,5_AFFECTIVE_1,5_COSTS_1,5_BENEFITS_1,6_AFFECTIVE_1,6_COSTS_1,6_BENEFITS_1,7_AFFECTIVE_1,7_COSTS_1,7_BENEFITS_1,8_AFFECTIVE_1,8_COSTS_1,8_BENEFITS_1,9_AFFECTIVE_1,9_COSTS_1,9_BENEFITS_1,10_AFFECTIVE_1,10_COSTS_1,10_BENEFITS_1,INT _1,INT _2,INT _3,INT _4,INT _5,INT _6,ATTENTION,INT _7,INT _8,INT _9,INT _10,Prolific_ID,RISKPERCEPTION
2/20/23 14:07,2/20/23 14:17,0,82.23.65.17,100,626,1,2/20/23 14:17,R_1pFsuD1kok8ZDDu,,,,,51.1469,0.8773,anonymous,EN,1,50,50,3,,1,,3,33,Production Manager,1,4,9,6,3,9,9,9,2,5,1,4,2,1,1,1,3,5,0,1,3,0,1,3,0,1,3,3,3,3,3,3,3,0,0,3,0,0,3,3,3,3,4,4,4,4,4,3,5,4,4,4,4,604a16d35dbd68dd1c554eba,BENEFITS
2/20/23 14:13,2/20/23 14:18,0,51.148.187.4,100,293,1,2/20/23 14:18,R_3hu72AoinV6d1i1,,,,,51.4743,-0.0928,anonymous,EN,1,28,38,3,,2,,6,3,Programme Manager,2,9,18,3,3,6,7,6,2,5,2,3,2,3,5,3,4,4,3,3,3,4,3,3,3,3,4,1,1,4,4,4,2,2,3,4,6,6,1,2,2,3,2,3,,,2,4,5,1,4,1,2,6329d18df45522430325b72b,COSTS
2/20/23 14:14,2/20/23 14:19,0,80.3.83.40,100,289,1,2/20/23 14:19,R_12zKiaQZsLI3vqr,,,,,52.9538,-1.1571,anonymous,EN,1,23,45,"2,3",,1,,6,2,Trainee,2,9,4,2,3,2,8,2,4,4,2,2,4,4,2,6,5,1,1,1,5,1,4,5,0,0,6,1,3,2,5,4,2,1,1,3,6,3,2,1,1,4,1,3,4,4,3,4,5,2,4,2,4,5f0477b44a7abf086ad33018,AFFECTIVE
2/20/23 14:14,2/20/23 14:20,0,81.151.211.248,100,349,1,2/20/23 14:20,R_xnqgi2A3EjMGplT,,,,,50.5297,-4.9078,anonymous,EN,1,44,40,3,,2,,5,5,Head of Finance,1,9,12,5,3,6,8,6,4,5,3,3,6,5,6,5,5,5,5,5,5,4,4,4,2,2,3,5,5,5,6,6,6,3,3,3,5,5,5,3,3,3,3,3,3,3,4,4,5,4,4,4,4,61479ffdd997b6555aec9617,BENEFITS
2/20/23 14:09,2/20/23 14:21,0,86.8.210.62,100,721,1,2/20/23 14:21,R_31zuhbZZJpb4w8U,,,,,53.7687,-2.4667,anonymous,EN,1,30,40,3,,2,,3,6,Warehouse Supervisor ,2,4,9,6,3,5,7,5,5,4,3,4,5,5,6,5,6,2,1,2,6,1,1,6,4,4,5,1,2,5,5,5,2,5,6,2,4,5,2,1,2,2,1,4,4,4,5,4,5,3,5,4,5,6123460a5146e28b7b216bb6,AFFECTIVE
2/20/23 14:10,2/20/23 14:21,0,81.79.78.4,100,634,1,2/20/23 14:21,R_2B9UbGTdovjbn3x,,,,,51.4535,-2.5917,anonymous,EN,1,37,40,6,White,2,,5,8,Custumer service ,2,8,13,4,3,2,3,3,4,4,3,4,6,7,0,6,6,6,0,0,1,5,1,0,5,2,0,3,2,2,6,6,0,5,4,5,7,7,0,2,0,4,,,,,,3,5,,4,,4,5d39b973e87db000017f2158,BENEFITS
2/20/23 14:15,2/20/23 14:22,0,94.174.132.47,100,442,1,2/20/23 14:22,R_1GHYxK4I7HDxz7B,,,,,51.2539,0.5327,anonymous,EN,1,32,40,3,,2,,6,6,Quality controller,2,6,9,5,2,6,7,8,1,5,3,3,2,2,4,1,1,1,2,1,1,2,2,3,2,2,2,2,2,5,5,3,2,2,2,5,4,4,2,2,1,6,3,1,1,2,1,4,5,2,4,2,4,5f2b24337bf4715276306315,AFFECTIVE
2/20/23 14:16,2/20/23 14:23,0,80.5.75.22,100,418,1,2/20/23 14:23,R_ZqHSnq17HnwEpRD,,,,,54.6784,-5.9695,anonymous,EN,1,41,32,3,,2,,2,5,Operations Manager ,1,3,18,3,1,5,8,5,3,4,4,3,7,5,3,7,5,3,4,3,3,4,3,3,7,4,3,0,1,6,7,5,2,3,5,3,7,5,3,0,1,6,2,1,2,2,3,5,5,1,2,1,4,614791e493c0b2248f0d0536,BENEFITS
2/20/23 14:14,2/20/23 14:27,0,72.66.116.240,100,786,1,2/20/23 14:27,R_2uWFT5P83QZQc9a,,,,,38.867,-76.8173,anonymous,EN,1,30,40,1,,1,,5,3,Scrum Master,1,6,19,6,1,7,9,7,3,4,2,4,2,4,6,5,5,0,0,1,6,1,2,6,0,2,6,0,1,6,5,4,5,0,0,7,1,2,4,2,2,5,4,,4,4,4,5,5,2,4,3,3,59b1986ac05bb50001eb3a5f,COSTS
2/20/23 14:16,2/20/23 14:30,0,109.158.119.1,100,816,1,2/20/23 14:30,R_1pSTnipP6EaCFVf,,,,,55.1765,-1.6299,anonymous,EN,1,35,38,3,,1,,4,2,Deputy Directorate Accountant,2,9,12,3,3,3,5,3,2,5,2,4,2,2,4,2,1,1,1,1,4,0,0,3,0,1,1,0,0,0,7,5,0,0,0,3,4,3,1,0,0,2,4,3,4,4,4,1,5,1,3,,1,6297926c64e0ed0b008a1230,COSTS
2/22/23 10:28,2/22/23 10:33,0,92.41.12.160,100,279,1,2/22/23 10:33,R_3gRyYqPi3MrzyPa,,,,,51.5095,-0.0955,anonymous,EN,1,45,37,3,,2,,2,15,Admin assistant,2,9,12,4,3,2,2,2,2,4,2,4,7,7,0,7,7,0,0,0,0,7,7,0,0,0,0,7,7,0,7,7,0,0,0,0,7,7,0,7,7,0,,,,,,,5,,,,,592c6c1342957b00019db951,COSTS
2/22/23 10:30,2/22/23 10:35,0,81.97.38.17,100,261,1,2/22/23 10:35,R_1Cp9y9N9edmhiC3,,,,,51.4781,-0.0279,anonymous,EN,1,28,40,3,,1,,1,0,Team Member,2,8,16,1,2,2,,3,1,5,4,1,1,0,0,1,,,2,3,0,5,7,0,3,3,5,5,4,7,1,1,1,1,1,1,1,1,1,2,1,0,1,1,2,2,2,3,5,2,2,2,2,631772a21801f95e886518f4,AFFECTIVE
2/22/23 10:28,2/22/23 10:35,0,77.100.194.14,100,403,1,2/22/23 10:35,R_1g8gF2hqLnuhPhO,,,,,51.2276,-2.3278,anonymous,EN,1,48,33,3,,2,,4,4,Administrator ,2,3,19,4,3,6,6,8,3,4,3,5,3,3,2,5,4,3,2,6,2,2,2,3,3,2,4,1,1,5,5,4,1,1,1,6,7,4,3,1,3,3,4,3,4,4,5,5,5,2,4,1,3,5c3db5a6ea50eb0001759fc4,COSTS
2/22/23 10:33,2/22/23 10:38,0,88.106.20.110,100,273,1,2/22/23 10:38,R_3hEHViRc0c4kJ9g,,,,,52.5819,-1.201,anonymous,EN,1,25,35,2,,2,,3,0,Dental nurse ,2,4,12,5,3,4,6,4,5,5,3,5,7,7,7,7,7,7,4,4,4,4,6,3,5,5,5,7,6,6,7,7,7,4,4,4,7,5,5,4,5,5,1,1,1,2,1,1,5,3,2,1,2,5fe72287e7fadb575f94885a,COSTS
